name,,location,address,,,,,food,cost ,,tablebooking,onlinedelivery,,,,rating,,Rating text,cuisines,food,cost
Sunny Sweets,,Gurgaon,"A 6, Qutab Plaza, DLF Phase 1, Gurgaon",,,,,"Mithai, Street Food",200,,No,No,,,,3.3,,Average,,"Mithai, Street Food",200
The Healthy Rasoi,,Gurgaon,"Shop B-5, Qutab Plaza Market, DLF Phase 1, Gurgaon",,,,,"Healthy Food, North Indian, Beverages",500,,No,No,,,,3.7,,Good,,"Healthy Food, North Indian, Beverages",500
Burger King,,Gurgaon,"Shop 6, Lower Ground Floor, Raheja Mall, Sohna Road, Gurgaon",,,,,"Burger, Fast Food",500,,No,Yes,,,,3,,Average,,"Burger, Fast Food",500
Hong Kong Express,,Gurgaon,"2nd Floor, Raheja Mall, Sohna Road, Gurgaon",,,,,"Chinese, Thai",700,,No,Yes,,,,3.2,,Average,,"Chinese, Thai",700
Viva Hyderabad,,Gurgaon,"Food Court, 3rd Floor, Raheja Mall, Sohna Road, Gurgaon",,,,,"Biryani, North Indian",600,,No,Yes,,,,2.3,,Poor,,"Biryani, North Indian",600
Cafe Rouge - Ramada,,Gurgaon,"Ramada Gurgaon Central, Site No.2, Sector 44, Gurgaon",,,,,"North Eastern, Continental, South Indian, Fast Food",1500,,Yes,No,,,,3.5,,Good,,"North Eastern, Continental, South Indian, Fast Food",1500
Shamji Sweets,,Gurgaon,"Sohna Chowk, Near Jama Masjid, Sadar Bazar, Gurgaon",,,,,Mithai,200,,No,No,,,,3.2,,Average,,Mithai,200
Sialkoti Vaishno Dhaba,,Gurgaon,"HPO Chowk, Sadar Bazar, Gurgaon",,,,,North Indian,250,,No,No,,,,3.1,,Average,,North Indian,250
Haldiram's,,Gurgaon,"Ground Floor, Sahara Mall, MG Road, Gurgaon",,,,,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,,No,No,,,,3.6,,Good,,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600
Club Prison,,Gurgaon,"305 & 306, 3rd Floor, Sahara Mall, MG Road, Gurgaon",,,,,Finger Food,1800,,No,No,,,,2.4,,Poor,,Finger Food,1800
Maa Bhagwati Tiffins,,Gurgaon,"Subhash Nagar, Sector 12, Gurgaon",,,,,North Indian,200,,No,No,,,,3,,Average,,North Indian,200
Spices & Sauces,,Gurgaon,"City Mark Hotel, Mahavir Chowk, Near Sector 12, Gurgaon",,,,,"North Indian, Continental",1500,,Yes,No,,,,3,,Average,,"North Indian, Continental",1500
Indian Food Cafe,,Gurgaon,"Shop 323, Public Tree, Bus Stand Road, Opposite Allahabad Bank, Sector 12, Gurgaon",,,,,North Indian,500,,No,No,,,,0,,Not rated,,North Indian,500
Assam Tea Corner,,Gurgaon,"New Mata Road, Rajiv Colony, Sector 14, Gurgaon",,,,,"Chinese, Street Food",150,,No,No,,,,2.8,,Average,,"Chinese, Street Food",150
Bakingo,,Gurgaon,"M-14, Old DLF Colony, Sector 14, Gurgaon, Delhi NCR",,,,,Bakery,400,,No,No,,,,3,,Average,,Bakery,400
Balaji Sweets & Snacks,,Gurgaon,"Shop 1, Near Shiv Mandir Chowk, Rajeev Nagar, Sector 14, Gurgaon",,,,,"North Indian, South Indian, Chinese",400,,No,No,,,,2.9,,Average,,"North Indian, South Indian, Chinese",400
Baxman Delivers,,Gurgaon,"Sector 14, Gurgaon",,,,,"North Indian, Chinese, Fast Food, Desserts",800,,No,No,,,,2.9,,Average,,"North Indian, Chinese, Fast Food, Desserts",800
Burger Point,,Gurgaon,"Shop 48, Sector 14, Gurgaon",,,,,"Burger, Fast Food",300,,No,No,,,,3.2,,Average,,"Burger, Fast Food",300
Burger Xpress,,Gurgaon,"Shop 140, Main Market, Opposite Hanuman Mandir, Sector 14, Gurgaon",,,,,Fast Food,300,,No,No,,,,3.1,,Average,,Fast Food,300
Cafe Coffee Day,,Gurgaon,"SCO 10, Vishal Mega Mart, Sector 14, Gurgaon",,,,,Cafe,450,,No,No,,,,2.8,,Average,,Cafe,450
Cake Factory,,Gurgaon,"450, Bhim Nagar, Near Ram Lila Ground, Sector 14, Gurgaon",,,,,"Bakery, Desserts",300,,No,Yes,,,,3.3,,Average,,"Bakery, Desserts",300
Cake Maker,,Gurgaon,"2322/3, Opposite Air Force School, Ground Floor, Excel House, Old Delhi Road, Near Sector 14, Gurgaon",,,,,"Street Food, Bakery",200,,No,No,,,,3,,Average,,"Street Food, Bakery",200
Captain's Table,,Gurgaon,"SCF 96, Main Market, Sector 14, Gurgaon",,,,,"Bakery, Desserts",200,,No,No,,,,3.1,,Average,,"Bakery, Desserts",200
Carpedium,,Gurgaon,"Shop 94, Huda Market, Sector 14, Gurgaon",,,,,"Bakery, Desserts",200,,No,No,,,,3.1,,Average,,"Bakery, Desserts",200
Chef Sack Kitchen,,Gurgaon,"Khasra 3898/3173, Basement, Opposite Shubh Vatika, Atul Kataria Chowk, Sector-12A, Near, Sector 14, Gurgaon",,,,,"Mexican, Lebanese, Italian, Continental, Thai",500,,No,No,,,,3.1,,Average,,"Mexican, Lebanese, Italian, Continental, Thai",500
Chinar Junction,,Gurgaon,"Late Atul Kataria Chowk, Sector 14, Gurgaon",,,,,"North Indian, Chinese",600,,No,No,,,,2.8,,Average,,"North Indian, Chinese",600
Frontier,,Gurgaon,"59, 1143-336/2, Excel House, Old Delhi Road, Opposite Air Force School, Near Sector 14, Gurgaon",,,,,Bakery,200,,No,No,,,,2.9,,Average,,Bakery,200
Ganpati Rasoi,,Gurgaon,"New Railway Road, Opposite Easy Day, Jawahar Nagar, Sector 14, Gurgaon",,,,,North Indian,200,,No,No,,,,3.2,,Average,,North Indian,200
Indian & Chinese Corner,,Gurgaon,"76, Sector 14, Gurgaon",,,,,"North Indian, Chinese",400,,No,No,,,,3.1,,Average,,"North Indian, Chinese",400
Juice Lounge,,Gurgaon,"NM-22, Ground Floor, Old DLF, Sector 14, Gurgaon",,,,,"Beverages, Fast Food",350,,No,No,,,,3.4,,Average,,"Beverages, Fast Food",350
KB's Kulfi & Icecream,,Gurgaon,"3, Atul Kataria Chowk, Sector 14, Gurgaon",,,,,Ice Cream,200,,No,Yes,,,,3.3,,Average,,Ice Cream,200
KB's Kulfi & Icecream,,Gurgaon,"20, Opposite Plaza Hotel, Old Delhi Road, Sector 14, Gurgaon",,,,,Ice Cream,200,,No,Yes,,,,3.3,,Average,,Ice Cream,200
Keventers,,Gurgaon,"Shop 40, Main Market, Sector 14, Gurgaon",,,,,Beverages,250,,No,No,,,,2.6,,Average,,Beverages,250
KFC,,Gurgaon,"Plot 98, Main market, Sector 14, Gurgaon",,,,,"American, Fast Food, Burger",500,,No,Yes,,,,2.7,,Average,,"American, Fast Food, Burger",500
Madras Cafe,,Gurgaon,"SCO 17, Near Huda Office, Sector 14, Gurgaon",,,,,"South Indian, North Indian, Chinese, Fast Food",300,,No,No,,,,3.3,,Average,,"South Indian, North Indian, Chinese, Fast Food",300
Madurai Meenakshi Bhawan,,Gurgaon,"158, Sector 14 Market, Sector 14, Gurgaon",,,,,"South Indian, North Indian",300,,No,No,,,,3.4,,Average,,"South Indian, North Indian",300
Masala Fusion,,Gurgaon,"Opposite Air Force School, Old Delhi Road, Sector 14, Gurgaon",,,,,"North Indian, Chinese",600,,No,Yes,,,,3.2,,Average,,"North Indian, Chinese",600
Moti Mahal Delux Tandoori Trail,,Gurgaon,"Old Delhi Road, Opposite Ajit Cinema, Sector 14, Gurgaon",,,,,"North Indian, Continental",800,,Yes,No,,,,2.9,,Average,,"North Indian, Continental",800
Mr. & Mrs. Idly,,Gurgaon,"165/6, Shining Sun Tower, Furniture Market Near Government Girls School, Jacobpura, New Railway Road, Sector 14, Gurgaon",,,,,"South Indian, Chinese",400,,No,No,,,,3,,Average,,"South Indian, Chinese",400
Pind Bawarchi,,Gurgaon,"Shop 4 & 5, Huda Market, Sector 14, Gurgaon",,,,,"North Indian, Chinese",600,,No,Yes,,,,3.1,,Average,,"North Indian, Chinese",600
Republic of Chicken,,Gurgaon,"SG 28, Sector 14, Gurgaon",,,,,"Raw Meats, Fast Food",400,,No,No,,,,2.8,,Average,,"Raw Meats, Fast Food",400
Ridhi Sidhi,,Gurgaon,"Bhim Nagar, Near Ram Lila Ground, Sector 14, Gurgaon",,,,,"North Indian, Chinese, South Indian",500,,No,Yes,,,,3,,Average,,"North Indian, Chinese, South Indian",500
Romi Da Dhaba,,Gurgaon,"Opposite Air Force School, Old Delhi Road, Sector 14, Gurgaon",,,,,North Indian,450,,No,No,,,,3.2,,Average,,North Indian,450
Shamji Sweets,,Gurgaon,"289/2, Old Delhi Road, Near Telephone Exchange, Sector 14, Gurgaon",,,,,"Mithai, South Indian, Chinese, Street Food, North Indian",600,,No,No,,,,2.9,,Average,,"Mithai, South Indian, Chinese, Street Food, North Indian",600
Six Pack Kitchen,,Gurgaon,"NM 6, Old DLF Colony, Opposite Dr. Lal Path Lab, Sector 14, Gurgaon",,,,,"Healthy Food, Continental",600,,No,No,,,,3.2,,Average,,"Healthy Food, Continental",600
Taste of Dilli 6,,Gurgaon,"Sector 14, Gurgaon",,,,,"Chinese, North Indian",650,,No,Yes,,,,2.7,,Average,,"Chinese, North Indian",650
The Guls,,Gurgaon,"Sheetla Mata Road, Near Shiv Mandir Chowk, Near Sector 14, Gurgaon",,,,,North Indian,650,,No,No,,,,3,,Average,,North Indian,650
The League Restaurant,,Gurgaon,"Old Delhi Road, Opposite Officers Enclave, Sector 14, Gurgaon",,,,,"North Indian, Chinese",900,,Yes,No,,,,3.1,,Average,,"North Indian, Chinese",900
The Plaza Solitaire,,Gurgaon,"30, HUDA Commercial Centre, Delhi Gurgaon Road, Sector 14, Gurgaon",,,,,"North Indian, Mughlai, Chinese, South Indian",900,,Yes,No,,,,3.3,,Average,,"North Indian, Mughlai, Chinese, South Indian",900
Uttarakhand Fast Food,,Gurgaon,"New Mata Kataria Road, Rajiv Colony, Sector 14, Gurgaon",,,,,North Indian,200,,No,No,,,,2.9,,Average,,North Indian,200
Viva Hyderabad,,Gurgaon,"5, New Gurgaon Plaza, Old Delhi Road, Sector 14, Gurgaon",,,,,"Biryani, North Indian",600,,No,Yes,,,,2.5,,Average,,"Biryani, North Indian",600
Wahid Food Corner,,Gurgaon,"Plot 100, Sheetla Mata Road, Rajeev Nagar, Sector 14, Gurgaon",,,,,North Indian,400,,No,No,,,,2.8,,Average,,North Indian,400
Zync - Rosewood Hotel,,Gurgaon,"Old Delhi Road, Exit 7 NH8, Near Raj Cinema, Near Sector 14 Market, Sector 14, Gurgaon",,,,,"North Indian, Chinese, Continental",1000,,Yes,No,,,,3,,Average,,"North Indian, Chinese, Continental",1000
Konetto Pizza,,Gurgaon,"Shop 7, Opposite Vishal Mega Mart, Next to Citikart, Old Delhi-Gurgaon Road, Sector 14, Gurgaon",,,,,Pizza,150,,No,No,,,,3.5,,Good,,Pizza,150
South Store,,Gurgaon,"157, Sector 14, Gurgaon",,,,,South Indian,200,,No,No,,,,3.5,,Good,,South Indian,200
Grill & Cafe,,Gurgaon,"48/5, Mahrauli Road, Near Government College, Sector 14, Gurgaon",,,,,"Chinese, Mughlai, North Indian",600,,No,No,,,,0,,Not rated,,"Chinese, Mughlai, North Indian",600
Gurgaon Mughlai Chicken,,Gurgaon,"Rajiv Nagar, Near Apple Hospital, Sector 14, Gurgaon",,,,,"North Indian, Mughlai",350,,No,No,,,,0,,Not rated,,"North Indian, Mughlai",350
Mughal Chicken Corner,,Gurgaon,"Main Sheetla Mata Road, Sector 14, Gurgaon",,,,,"North Indian, Mughlai",500,,No,No,,,,0,,Not rated,,"North Indian, Mughlai",500
Oven Aroma,,Gurgaon,"Shop 5 & 6, Atul Kataria Chowk, Sector 14, Gurgaon",,,,,Bakery,400,,No,Yes,,,,0,,Not rated,,Bakery,400
Radha Swami Shudh Vaishno Dhaba,,Gurgaon,"New Mata Road, Rajeev Nagar, Sector 14, Gurgaon",,,,,North Indian,350,,No,No,,,,0,,Not rated,,North Indian,350
Special No.1 Biryani Corner,,Gurgaon,"Shop 4, New Gurgaon Plaza Market, Old Delhi Road, Sector 14, Gurgaon",,,,,Mughlai,700,,No,No,,,,0,,Not rated,,Mughlai,700
Sun Sweets Restaurant,,Gurgaon,"Chand Palace Fawara Chowk, Bus Stand Road, Sector 14, Gurgaon",,,,,"Street Food, Mithai, North Indian, South Indian, Chinese",400,,No,No,,,,0,,Not rated,,"Street Food, Mithai, North Indian, South Indian, Chinese",400
Captain Bill$ Deliverz,,Gurgaon,"Near Main Market, Sector 14, Gurgaon",,,,,"North Indian, Chinese, Fast Food",1000,,No,Yes,,,,2.4,,Poor,,"North Indian, Chinese, Fast Food",1000
China Hut,,Gurgaon,"Shop No-3 Near Choudhary Tent House New Mata Road Rajiv Nagar, Sector 14, Gurgaon",,,,,"Chinese, Fast Food",300,,No,No,,,,2.4,,Poor,,"Chinese, Fast Food",300
G Dot,,Gurgaon,"Opposite Lt. Atul Kataria Memorial School, Mata Sheetla Mandir Road, Sector 14, Gurgaon",,,,,"North Indian, South Indian, Chinese",400,,No,Yes,,,,2.4,,Poor,,"North Indian, South Indian, Chinese",400
Cake2you,,Gurgaon,"522/5, Near Jyoti Hospital, Sector 15, Gurgaon",,,,,"Bakery, Desserts",400,,No,No,,,,3,,Average,,"Bakery, Desserts",400
Delight Express,,Gurgaon,"Shop 82, HUDA Market, Part 2, Sector 15, Gurgaon",,,,,"Chinese, North Indian",400,,No,No,,,,2.9,,Average,,"Chinese, North Indian",400
Empress,,Gurgaon,"Treehouse Queens Pearl, Opposite New Court, Near Rajiv Chowk, Near, Sector 15, Gurgaon",,,,,"North Indian, Chinese",1000,,Yes,No,,,,2.9,,Average,,"North Indian, Chinese",1000
Hotel DDR,,Gurgaon,"9, Old Judicial Complex, Sector 15, Gurgaon",,,,,"North Indian, Chinese, Mughlai",500,,No,No,,,,2.8,,Average,,"North Indian, Chinese, Mughlai",500
Khan Kabab Corner,,Gurgaon,"Next to Hotel Haut Monde, Sector 15, Gurgaon",,,,,"Mughlai, North Indian",500,,No,No,,,,3,,Average,,"Mughlai, North Indian",500
Kwality Cakes and Bakes,,Gurgaon,"Shop 56, Opposite Hope Apartments, Main Jharsa Road, Sector 15, Gurgaon",,,,,"Bakery, Desserts, Fast Food",350,,No,No,,,,3.2,,Average,,"Bakery, Desserts, Fast Food",350
Nite Bites,,Gurgaon,"837/5, Sector 15, Gurgaon",,,,,"North Indian, Chinese, Continental",650,,No,Yes,,,,2.9,,Average,,"North Indian, Chinese, Continental",650
Oriental Kitchen Express,,Gurgaon,"1, Housing Board Colony, Near Jyoti Hospital, Sector 15, Gurgaon",,,,,"Chinese, Thai",450,,No,Yes,,,,3.3,,Average,,"Chinese, Thai",450
Royal Mart,,Gurgaon,"Shop 96, Main Jharsa Road, Sector 15/1, Sector 15, Gurgaon",,,,,"Bakery, Fast Food",300,,No,No,,,,2.9,,Average,,"Bakery, Fast Food",300
Sikkim Fast Food,,Gurgaon,"84, Main Market, Sector 15, Gurgaon",,,,,Chinese,350,,No,No,,,,2.7,,Average,,Chinese,350
ZASTY,,Gurgaon,"Sector 15, Gurgaon",,,,,"Continental, North Indian, Asian",500,,No,No,,,,3.5,,Good,,"Continental, North Indian, Asian",500
Maachh Bhaat,,Gurgaon,"57, Opposite Maruti Udyog Ltd, Gate 2, Old Delhi Gurgaon Road, Opposite Sector 18, Sector 17, Gurgaon",,,,,Oriya,600,,No,Yes,,,,3.4,,Average,,Oriya,600
ANTIDOTE,,Gurgaon,"Sector 17, Gurgaon",,,,,Beverages,400,,No,No,,,,0,,Not rated,,Beverages,400
Bablu Fast Food,,Gurgaon,"Shop 5, Opposite Oriental Club, Sector 18, Near Sector 17, Gurgaon",,,,,Chinese,300,,No,No,,,,0,,Not rated,,Chinese,300
Bikaner Sweets Snacks & Restaurant,,Gurgaon,"Huda Market, Near Vipul Motors & Siemens Company Sector 17, Gurgaon",,,,,"Bakery, Chinese, North Indian",250,,No,No,,,,0,,Not rated,,"Bakery, Chinese, North Indian",250
Bikaner Sweets,,Gurgaon,"Shop 1, Old Delhi Gurgaon Road, Sector 17, Gurgaon",,,,,"North Indian, Street Food, Mithai",350,,No,No,,,,0,,Not rated,,"North Indian, Street Food, Mithai",350
Biryani & Rolls,,Gurgaon,"947, Sector 17 B, Gurgaon",,,,,North Indian,400,,No,No,,,,0,,Not rated,,North Indian,400
Cafe Coffee Day,,Gurgaon,"B Block, IFFCO Colony, Sector 17, Gurgaon",,,,,Cafe,450,,No,No,,,,0,,Not rated,,Cafe,450
Chefy's Kitchen,,Gurgaon,"512, Sector 5 Sevice Lane, Atul Kataria Marg, Sector 17, Gurgaon",,,,,"Biryani, Pizza, Fast Food, Healthy Food",400,,No,No,,,,0,,Not rated,,"Biryani, Pizza, Fast Food, Healthy Food",400
Delight Express,,Gurgaon,"Shop 64, HUDA Market, Sector 17, Gurgaon",,,,,"Raw Meats, North Indian, Chinese",400,,No,No,,,,0,,Not rated,,"Raw Meats, North Indian, Chinese",400
Dilli Rasoi,,Gurgaon,"Divided Road, Near Pasco Maruti Ltd, Sector 17, Gurgaon",,,,,North Indian,200,,No,No,,,,0,,Not rated,,North Indian,200
Dujal Cafe,,Gurgaon,"HUDA Market, Opposite Anshu Dairy, Sector 17, Gurgaon",,,,,Chinese,250,,No,No,,,,0,,Not rated,,Chinese,250
Full Dabba,,Gurgaon,"Plot 203, Sector 17A, Sector 17, Gurgaon",,,,,"North Indian, South Indian",300,,No,No,,,,0,,Not rated,,"North Indian, South Indian",300
HSI Food World,,Gurgaon,"90, Lt. Atul Kataria Marg, Sector 17, Gurgaon",,,,,"North Indian, Chinese",600,,No,No,,,,0,,Not rated,,"North Indian, Chinese",600
Krishna Restaurant,,Gurgaon,"Near PNB ATM, Kaushik Complex, Sukhrali Main Road, Sector 17, Gurgaon",,,,,"North Indian, South Indian, Chinese, Fast Food",500,,No,No,,,,0,,Not rated,,"North Indian, South Indian, Chinese, Fast Food",500
Lajawaab House Cafe,,Gurgaon,"25-26, Huda Market, Sector 17, Gurgaon",,,,,"North Indian, South Indian, Chinese",500,,No,No,,,,0,,Not rated,,"North Indian, South Indian, Chinese",500
Luncheon Box,,Gurgaon,"Plot 1523, Near Gyan Mandir School, Sector 17 C, Sector 17, Gurgaon",,,,,North Indian,150,,No,No,,,,0,,Not rated,,North Indian,150
Modern Sweets,,Gurgaon,"Opposite Sun Tower, Sukhrali Village, Sector 17, Gurgaon",,,,,"Mithai, Street Food",100,,No,No,,,,0,,Not rated,,"Mithai, Street Food",100
Radha Swami Shudh Vaishno Dhaba,,Gurgaon,"17 & 18, Old Delhi Road, Sector 17, Gurgaon",,,,,North Indian,150,,No,No,,,,0,,Not rated,,North Indian,150
Raju Vaishno Amritsari Dhaba,,Gurgaon,"17-C, Sukhrali, Sector 17, Gurgaon",,,,,North Indian,150,,No,No,,,,0,,Not rated,,North Indian,150
Rustic Flavours,,Gurgaon,"Shop 18, HUDA Market, Sector 17, Gurgaon",,,,,North Indian,550,,No,No,,,,0,,Not rated,,North Indian,550
VK Food Court,,Gurgaon,"MG Road, Sukhrali, Sector 17, Gurgaon",,,,,"North Indian, Chinese",400,,No,No,,,,0,,Not rated,,"North Indian, Chinese",400
Domino's Pizza,,Gurgaon,"Ground Floor, Amenity Block, IT/ITES SEZ, Village Dundahera, Near Sector 21, Sector 21, Gurgaon",,,,,"Pizza, Fast Food",700,,No,No,,,,3.3,,Average,,"Pizza, Fast Food",700
GoGourmet,,Gurgaon,"Unit 2B, Amenity Block-II, Candor Techspace, Sector 21, Gurgaon",,,,,"Healthy Food, Beverages",600,,No,No,,,,3.2,,Average,,"Healthy Food, Beverages",600
Snack Shack,,Gurgaon,"Building 4, Near Food Court, Unitech Infospace, Sector 21, Gurgaon",,,,,Chinese,400,,No,Yes,,,,2.7,,Average,,Chinese,400
WestÌ©ross,,Gurgaon,"A11/B32, Unit 2A, Block 4A, IT/ITeS SEZ Candor TechSpace, Dundahera, Sector 21, Gurgaon",,,,,"Italian, Mexican",400,,No,Yes,,,,3.5,,Good,,"Italian, Mexican",400
Fruitpro,,Gurgaon,"Unit Sez Aminity Block, Sector 21, Gurgaon",,,,,Beverages,150,,No,No,,,,0,,Not rated,,Beverages,150
Konetto Pizza,,Gurgaon,"Amenity Block 2, Info City, Old Delhi Gurugram Road, Sector 21, Gurgaon",,,,,Pizza,150,,No,No,,,,0,,Not rated,,Pizza,150
Tpot,,Gurgaon,"Shop 14, Aminities Block, Infospace, Sector 21, Gurgaon",,,,,Cafe,800,,No,Yes,,,,0,,Not rated,,Cafe,800
Cake Desire,,Gurgaon,"Shop 118, Sector 22, Gurgaon",,,,,Bakery,400,,No,No,,,,3,,Average,,Bakery,400
Burger Xpress,,Gurgaon,"Shop 32, HUDA Market, Sector 22, Gurgaon",,,,,Fast Food,300,,No,No,,,,0,,Not rated,,Fast Food,300
Divine Bites,,Gurgaon,"Sector 22, Gurgaon",,,,,Bakery,300,,No,Yes,,,,0,,Not rated,,Bakery,300
Interaxis,,Gurgaon,"Sector 22, Gurgaon",,,,,"Raw Meats, Fast Food",400,,No,No,,,,0,,Not rated,,"Raw Meats, Fast Food",400
Kwality wall's swirl's,,Gurgaon,"Unitech Infospace, Sector 22, Gurgaon",,,,,Ice Cream,200,,No,No,,,,0,,Not rated,,Ice Cream,200
Milan Apna Dhaba,,Gurgaon,"Near Jawala Mill Chowk, Sector 22, Gurgaon",,,,,North Indian,300,,No,No,,,,0,,Not rated,,North Indian,300
R S Foods,,Gurgaon,"Shop 2, Old Delhi Gurgaon Road, Near Jawala Mill, Sector 22, Gurgaon",,,,,"Mughlai, North Indian",450,,No,No,,,,0,,Not rated,,"Mughlai, North Indian",450
Ronny Flavours,,Gurgaon,"Shop 105, Main Market, Sector 22, Gurgaon, Delhi NCR",,,,,"Fast Food, Beverages",300,,No,No,,,,0,,Not rated,,"Fast Food, Beverages",300
Shahi  Chicken Corner,,Gurgaon,"Jwala Mill Road Shop No.6, Sector 22, Gurgaon",,,,,Mughlai,250,,No,No,,,,0,,Not rated,,Mughlai,250
Behrouz Biryani,,Gurgaon,"Sector 23, Gurgaon",,,,,Biryani,600,,No,Yes,,,,3.4,,Average,,Biryani,600
Biryani Art,,Gurgaon,"SCO 48, DSC Market, A Urban Estate, Sector 23, Gurgaon",,,,,"Hyderabadi, North Indian, Biryani",1100,,Yes,Yes,,,,3.3,,Average,,"Hyderabadi, North Indian, Biryani",1100
Daawat-e! Amritsar,,Gurgaon,"Shop 10, 1st Floor, Sector 23 Market, Sector 23, Gurgaon",,,,,Mughlai,700,,No,Yes,,,,2.9,,Average,,Mughlai,700
Faasos,,Gurgaon,"SCO 48, Sector 23-A, Sector 23, Gurgaon",,,,,"North Indian, Fast Food",600,,No,Yes,,,,3,,Average,,"North Indian, Fast Food",600
Ovenstory Pizza,,Gurgaon,"Sector 23, Gurgaon",,,,,"Pizza, Fast Food",500,,No,Yes,,,,3.3,,Average,,"Pizza, Fast Food",500
Pizza Hut Delivery,,Gurgaon,"SCO 63, Ground Floor, Behind HP Petrol Pump, Sector 23 A, Near Sector 23, Gurgaon",,,,,"Italian, Pizza, Fast Food",800,,No,Yes,,,,2.7,,Average,,"Italian, Pizza, Fast Food",800
Game n Grillz,,Gurgaon,"Near ITM University, Sector 23-A, Sector 23, Gurgaon",,,,,"North Indian, Chinese, Fast Food",850,,Yes,No,,,,3.6,,Good,,"North Indian, Chinese, Fast Food",850
Hamoni Red: Play Cafe,,Gurgaon,"CK Farm, Carterpuri Village, Sector 23A, Gurgaon, Sector 23, Gurgaon",,,,,Cafe,900,,No,No,,,,3.9,,Good,,Cafe,900
Firangi Bake,,Gurgaon,"SCO 48, Sec 23 A, Sector 23, Gurgaon",,,,,Bakery,300,,No,Yes,,,,0,,Not rated,,Bakery,300
Indochi,,Gurgaon,"Near ITM University, Sector 23-A, Near Sector 23, Gurgaon",,,,,"Chinese, Fast Food, North Indian",250,,No,No,,,,0,,Not rated,,"Chinese, Fast Food, North Indian",250
Kettle & Kegs,,Gurgaon,"Sector 23, Gurgaon",,,,,Tea,200,,No,Yes,,,,0,,Not rated,,Tea,200
The Food Garage,,Gurgaon,"Shop 65, Near Petrol Pump, Huda Shopping Market, Sector 23A, Sector 23, Gurgaon",,,,,"Chinese, North Indian",550,,No,No,,,,0,,Not rated,,"Chinese, North Indian",550
Machan,,Gurgaon,"Near Leisure Valley Park, Sector 29, Gurgaon",,,,,"North Indian, Chinese",900,,Yes,No,,,,3.3,,Average,,"North Indian, Chinese",900
Mainland China,,Gurgaon,"SCO 26, Opposite Reliance Mart, Main Market, Sector 29, Gurgaon",,,,,Chinese,1800,,Yes,No,,,,3.3,,Average,,Chinese,1800
Pind Balluchi,,Gurgaon,"Vatika Grand, Near Leisure Valley, Sector 29, Gurgaon",,,,,"North Indian, Mughlai",800,,No,Yes,,,,3.4,,Average,,"North Indian, Mughlai",800
Sagar Ratna,,Gurgaon,"SCO 33-34, 1st Floor, Main Market, Sector 29, Gurgaon",,,,,"South Indian, North Indian, Chinese",600,,No,No,,,,2.7,,Average,,"South Indian, North Indian, Chinese",600
Sasuraal,,Gurgaon,"SCO 26, Ground Floor, Main Market, Sector 29, Gurgaon",,,,,"North Indian, Mughlai",1400,,Yes,Yes,,,,3.3,,Average,,"North Indian, Mughlai",1400
feel ALIVE,,Gurgaon,"SCO 53, 2nd Floor, Main Market, Sector 29, Gurgaon",,,,,"North Indian, American, Asian, Biryani",1200,,Yes,No,,,,4.7,,Excellent,,"North Indian, American, Asian, Biryani",1200
Matchbox,,Gurgaon,"30, Ground Floor, Sector 29, Gurgaon",,,,,"Continental, North Indian, Chinese",1500,,Yes,No,,,,4.8,,Excellent,,"Continental, North Indian, Chinese",1500
Prankster,,Gurgaon,"Site 8-10, Sector 29, Gurgaon",,,,,"Modern Indian, North Indian",1500,,Yes,No,,,,4.8,,Excellent,,"Modern Indian, North Indian",1500
21 Gun Salute,,Gurgaon,"SCO 35-36, 1st Foor, Main Market, Sector 29, Gurgaon",,,,,"North Indian, Mughlai, Asian, Continental",2000,,Yes,Yes,,,,3.9,,Good,,"North Indian, Mughlai, Asian, Continental",2000
Backyard Underground,,Gurgaon,"SCO 35-36, Leisure Valley Market, Sector 29, Gurgaon",,,,,"Continental, Italian, North Indian, American",1400,,Yes,No,,,,3.5,,Good,,"Continental, Italian, North Indian, American",1400
Bikanervala,,Gurgaon,"Plot 3-5, Near Leisure Valley Park, Sector 29, Gurgaon",,,,,"Mithai, North Indian, South Indian, Fast Food, Street Food, Chinese",550,,No,Yes,,,,3.8,,Good,,"Mithai, North Indian, South Indian, Fast Food, Street Food, Chinese",550
Chin Chin,,Gurgaon,"SCO 33, Ground Floor, Main Market, Sector 29, Gurgaon",,,,,Chinese,1500,,Yes,Yes,,,,3.5,,Good,,Chinese,1500
Domino's Pizza,,Gurgaon,"SCO 35, Ground Floor, Main Market, Sector 29, Gurgaon",,,,,"Pizza, Fast Food",700,,No,No,,,,3.6,,Good,,"Pizza, Fast Food",700
Eggjactly,,Gurgaon,"Location Varies, Sector 29, Gurgaon",,,,,"American, Fast Food",500,,No,No,,,,3.7,,Good,,"American, Fast Food",500
Gola Sizzlers,,Gurgaon,"SCO 39, Main Market, Sector 29, Gurgaon",,,,,"Chinese, North Indian, Mughlai, Continental",1500,,Yes,No,,,,3.5,,Good,,"Chinese, North Indian, Mughlai, Continental",1500
Hunter Valley,,Gurgaon,"SCO 61, Main Market, Sector 29, Gurgaon",,,,,"Mexican, Italian, North Indian, Chinese",1600,,Yes,No,,,,3.6,,Good,,"Mexican, Italian, North Indian, Chinese",1600
